Neighborhood,ATIVO,OBITO,RECUPERADO,Population
RIACHUELO,32.0,35.0,581.0,13918.0
RIBEIRA,8.0,15.0,151.0,3881.0
RICARDO ALBUQUERQUE,28.0,48.0,413.0,32241.0
RIO COMPRIDO,82.0,126.0,1604.0,48140.0
ROCHA,32.0,27.0,569.0,9643.0
ROCHA MIRANDA,73.0,162.0,850.0,48607.0
ROCINHA,43.0,45.0,1274.0,76292.0
SAMPAIO,21.0,27.0,373.0,11985.0
SANTA CRUZ,149.0,461.0,5624.0,239066.0
SANTA TERESA,86.0,108.0,1112.0,45019.0
SANTISSIMO,52.0,116.0,1063.0,45604.0
SANTO CRISTO,20.0,31.0,357.0,13563.0
SAO CONRADO,49.0,25.0,831.0,12078.0
SAO CRISTOVAO,58.0,97.0,1467.0,29161.0
SAO FRANCISCO XAVIER,19.0,24.0,246.0,9177.0
SAUDE,7.0,2.0,93.0,3024.0
SENADOR CAMARA,56.0,241.0,1454.0,116067.0
SENADOR VASCONCELOS,40.0,75.0,451.0,33660.0
SEPETIBA,52.0,140.0,1758.0,62233.0
TANQUE,69.0,110.0,999.0,41642.0
TAQUARA,334.0,357.0,3820.0,112339.0
TAUA,55.0,53.0,566.0,32524.0
TIJUCA,400.0,615.0,8138.0,180186.0
TODOS OS SANTOS,65.0,57.0,865.0,27111.0
TOMAS COELHO,36.0,40.0,771.0,24944.0
TURIACU,16.0,37.0,206.0,18971.0
URCA,18.0,17.0,252.0,7767.0
VARGEM GRANDE,44.0,26.0,515.0,15443.0
VARGEM PEQUENA,33.0,44.0,460.0,29975.0
VASCO DA GAMA,9.0,15.0,44.0,17030.0
VAZ LOBO,16.0,50.0,281.0,16684.0
VICENTE DE CARVALHO,48.0,69.0,560.0,27460.0
VIDIGAL,38.0,36.0,520.0,14077.0
VIGARIO GERAL,29.0,56.0,521.0,46002.0
VILA DA PENHA,63.0,72.0,1041.0,28012.0
VILA ISABEL,141.0,228.0,3164.0,94620.0
VILA KENNEDY,1.0,0.0,22.0,43453.15625
VILA KOSMOS,29.0,35.0,309.0,20101.0
VILA MILITAR,12.0,24.0,131.0,14502.0
VILA VALQUEIRE,93.0,116.0,1187.0,35507.0
VISTA ALEGRE,24.0,41.0,479.0,9484.0
ZUMBI,4.0,4.0,70.0,2218.0
