Neighborhood,Latitude,Longitude,ATIVO,OBITO,RECUPERADO,Population,Cluster
PITANGUEIRAS,-22.8171281,-43.17995420000001,16,22,206,12932,0
PORTUGUESA,-22.7999597,-43.2068169,62,55,537,26242,0
PRACA DA BANDEIRA,-22.9112162,-43.2131983,23,32,591,9528,0
PRACA SECA,-22.8992621,-43.3527794,126,174,1475,70562,2
PRAIA DA BANDEIRA,-22.8104077,-43.179895,11,12,136,6543,0
QUINTINO BOCAIUVA,-22.8955889,-43.3253269,54,79,721,34304,0
RAMOS,-22.8519758,-43.2555693,87,122,2479,44871,2
REALENGO,-22.877274300000003,-43.4301032,153,552,3235,198135,5
RECREIO DOS BANDEIRANTES,-23.0185151,-43.4634021,351,255,4682,90464,1
RIACHUELO,-22.9026953,-43.255175,32,35,581,13918,0
RIBEIRA,-22.8252399,-43.1705907,8,15,151,3881,0
RICARDO ALBUQUERQUE,-22.8380924,-43.3963439,28,48,413,32241,0
RIO COMPRIDO,-22.9279449,-43.2088566,82,126,1604,48140,2
ROCHA,-22.8995624,-43.2488072,32,27,569,9643,0
ROCHA MIRANDA,-22.8503472,-43.3463053,73,162,850,48607,2
ROCINHA,-22.9885204,-43.2482058,43,45,1274,76292,2
SAMPAIO,-22.9022287,-43.2602402,21,27,373,11985,0
SANTA CRUZ,-22.9176248,-43.6834907,149,461,5624,239066,5
SANTA TERESA,-22.9213991,-43.1882138,86,108,1112,45019,2
SANTISSIMO,-22.8751928,-43.51985120000001,52,116,1063,45604,2
SANTO CRISTO,-22.9007657,-43.2033933,20,31,357,13563,0
SAO CONRADO,-22.9913592,-43.2675329,49,25,831,12078,0
SAO CRISTOVAO,-22.899318,-43.2219346,58,97,1467,29161,2
SAO FRANCISCO XAVIER,-22.9047617,-43.2440314,19,24,246,9177,0
SAUDE,-22.8971835,-43.1841545,7,2,93,3024,0
SENADOR CAMARA,-22.888752,-43.4913887,56,241,1454,116067,2
SENADOR VASCONCELOS,-22.8953684,-43.5288566,40,75,451,33660,0
SEPETIBA,-22.9679803,-43.69408720000001,52,140,1758,62233,2
TANQUE,-22.9151927,-43.3557471,69,110,999,41642,2
TAQUARA,-22.9218864,-43.384646,334,357,3820,112339,1
TAUA,-22.7977495,-43.18674779999999,55,53,566,32524,0
TIJUCA,-22.9332164,-43.2381453,400,615,8138,180186,4
TODOS OS SANTOS,-22.894563,-43.28506,65,57,865,27111,0
TOMAS COELHO,-22.8676979,-43.3060881,36,40,771,24944,0
TURIACU,-22.8616631,-43.3418026,16,37,206,18971,0
URCA,-22.954074,-43.1679727,18,17,252,7767,0
VARGEM GRANDE,-22.970791100000003,-43.4968914,44,26,515,15443,0
VARGEM PEQUENA,-22.9818187,-43.4578117,33,44,460,29975,0
VASCO DA GAMA,-22.8915219,-43.2267195,9,15,44,17030,0
VAZ LOBO,-22.858972100000006,-43.3278646,16,50,281,16684,0
VICENTE DE CARVALHO,-22.8571804,-43.31578920000001,48,69,560,27460,0
VIDIGAL,-22.9952094,-43.2408556,38,36,520,14077,0
VIGARIO GERAL,-22.8095333,-43.3097039,29,56,521,46002,0
VILA DA PENHA,-22.8435065,-43.3100585,63,72,1041,28012,0
VILA ISABEL,-22.9152219,-43.2472627,141,228,3164,94620,1
VILA KENNEDY,-22.855678,-43.49003,1,0,22,43453,0
VILA KOSMOS,-22.853597,-43.3032021,29,35,309,20101,0
VILA MILITAR,-22.860348,-43.4028933,12,24,131,14502,0
VILA VALQUEIRE,-22.8886093,-43.3657758,93,116,1187,35507,2
VISTA ALEGRE,-22.8296244,-43.3151276,24,41,479,9484,0
ZUMBI,-22.8212784,-43.1758609,4,4,70,2218,0
